phenotype,tissue,gene,snp,eqtl_type,n_strains,AIC M1 (L->R->C),AIC M2 (L->C->R),"AIC M3 (L->R, L->C)",best_model,delta_AIC,permutation_p,permutation_q
881,hypothalamus,Polr1a,mhcCD8b4,cis,28,86.14217731485613,128.25929210978586,92.23000989912002,M1 (L->R->C),6.087832584263893,0.00999000999000999,0.8070069465418304
1231,liver,Gpr12,mCV25009162,cis,38,1000.7532878795149,1033.4881944864512,1005.7787565317232,M1 (L->R->C),5.025468652208247,0.03296703296703297,0.8070069465418304
881,liver,Mrpl35,mhcCD8b4,cis,39,227.8785450991433,318.91524761627585,231.79229759416683,M1 (L->R->C),3.913752495023516,0.03396603396603397,0.8070069465418304
881,liver,Vamp5,mhcCD8b4,cis,39,182.7946057053427,221.004609651053,187.22752945654202,M1 (L->R->C),4.432923751199326,0.05194805194805195,0.8070069465418304
1231,liver,Ppyr1,rs3688363,trans,38,895.1863346402,908.8794214678356,895.1639353023305,"M3 (L->R, L->C)",0.022399337869501323,0.053946053946053944,0.8070069465418304
881,liver,Tgoln2,mhcCD8b4,cis,39,193.25801494540022,231.23727074963057,197.45805741776533,M1 (L->R->C),4.200042472365112,0.06493506493506493,0.8070069465418304
881,hypothalamus,Ptcd3,mhcCD8b4,cis,28,100.81530119204278,111.23343254082567,103.79216932834385,M1 (L->R->C),2.9768681363010643,0.06493506493506493,0.8070069465418304
1231,liver,BC013529,D10Mit28,cis,37,911.9339863213436,918.276030323078,910.3777596804166,"M3 (L->R, L->C)",1.5562266409269796,0.07392607392607392,0.8070069465418304
1231,liver,Olfr1121,rs3712394,trans,38,898.5166168947056,940.0425452503446,899.871824475462,M1 (L->R->C),1.3552075807563142,0.07992007992007992,0.8070069465418304
881,liver,Txndc9,rs13478871,trans,39,140.30520327377815,148.60015051209305,140.1314409469403,"M3 (L->R, L->C)",0.17376232683784565,0.08491508491508491,0.8070069465418304
881,liver,Ggcx,rs13478831,trans,39,194.86191110087697,212.85244675232167,198.65899359402607,M1 (L->R->C),3.797082493149105,0.08791208791208792,0.8070069465418304
881,liver,V1rb3,rs3661039,cis,39,154.40763516272818,178.1784252271367,154.56025728979844,M1 (L->R->C),0.15262212707025924,0.0979020979020979,0.8070069465418304
881,liver,Gt(ROSA)26Sor,rs13478891,trans,37,186.5665622628048,197.8419628090266,185.74711849096312,"M3 (L->R, L->C)",0.8194437718416907,0.10989010989010989,0.8070069465418304
1231,liver,Smarce1,rs13481185,cis,36,906.7383349768838,929.0698410146048,909.4174413727183,M1 (L->R->C),2.679106395834424,0.15084915084915085,0.8070069465418304
1231,hypothalamus,A430033K04Rik,rs13478566,trans,39,934.7488734766417,986.4321138052005,936.8390894983833,M1 (L->R->C),2.0902160217415258,0.16783216783216784,0.8070069465418304
881,liver,Krt25,rs13478831,trans,39,191.7713458758591,216.2932157509455,192.83496047014938,M1 (L->R->C),1.0636145942902715,0.18181818181818182,0.8070069465418304
1231,hypothalamus,Tubg1,mCV22971719,cis,37,848.7595124783339,866.6431941036653,847.2416273179384,"M3 (L->R, L->C)",1.5178851603955081,0.18281718281718282,0.8070069465418304
1231,liver,Lsm12,rs13481194,cis,38,993.1901014622066,1038.5182991193574,995.643625847745,M1 (L->R->C),2.453524385538458,0.1848151848151848,0.8070069465418304
1231,hypothalamus,Ust,rs3695003,cis,39,944.9349581399779,965.5720814066085,942.585960653067,"M3 (L->R, L->C)",2.348997486910889,0.18581418581418582,0.8070069465418304
1231,liver,Cnksr3,D10Mit28,trans,37,930.243487157664,969.0350247145187,929.9261318404937,"M3 (L->R, L->C)",0.31735531717038157,0.19080919080919082,0.8070069465418304
881,liver,Ptms,rs13478831,trans,39,230.26708192246892,245.70926725908276,231.3107392940056,M1 (L->R->C),1.043657371536682,0.1938061938061938,0.8070069465418304
1231,liver,Aig1,rs4228121,cis,38,955.9660667755988,1030.8516382933017,956.0679372310561,M1 (L->R->C),0.10187045545728779,0.19480519480519481,0.8070069465418304
1231,liver,Hexim2,rs13481194,cis,38,900.3738907005904,925.0283458365786,902.2413669050571,M1 (L->R->C),1.8674762044666977,0.2057942057942058,0.8070069465418304
881,liver,Odf2l,rs13478871,trans,39,148.37722223521703,158.95104077822504,144.82037540549717,"M3 (L->R, L->C)",3.556846829719859,0.20679320679320679,0.8070069465418304
881,liver,Caprin2,gnf06.086.089,trans,39,185.06668637475008,193.7421303105779,181.81801215561643,"M3 (L->R, L->C)",3.2486742191336475,0.2097902097902098,0.8070069465418304
881,liver,Magohb,rs13478871,trans,39,163.95248494257547,171.1286587903149,160.05361731647494,"M3 (L->R, L->C)",3.8988676261005253,0.21078921078921078,0.8070069465418304
881,hypothalamus,Surf4,rs6223362,trans,27,68.26598994228874,75.70352076125558,67.5152537699223,"M3 (L->R, L->C)",0.7507361723664445,0.21478521478521478,0.8070069465418304
881,liver,Ccdc123,gnf06.094.150,trans,38,152.44248574059338,169.09946208058025,153.02564327854674,M1 (L->R->C),0.5831575379533547,0.23376623376623376,0.8070069465418304
